#{"t_start": 1760695127.328358, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-207.493824,61,1.682562
-619.929588,76,3.080854
-628.361407,74,4.232021
-524.611721,71,5.543362
-229.763411,89,6.966645
-76.724829,172,11.212127
-318.370074,246,17.37746
-378.620544,269,24.5892
-125.201896,511,41.017449
-272.982991,695,91.662971
-289.938286,539,126.774078
-200.330482,669,168.102987
-94.206458,514,201.170156
-225.271892,690,251.180889
-370.988278,268,267.570676
-97.009597,488,299.431532
-288.481763,129,306.459628
-4.249181,167,314.857442
-137.333965,170,324.133192
-135.356447,513,346.194239
-146.688642,762,378.109185
-81.430864,75,380.417597
-203.715019,923,423.420769
-199.605933,823,464.283321
-243.034096,796,506.396759
-291.182613,415,524.970923
-165.731081,606,557.0321
-264.247577,885,603.867116
-225.246526,583,631.976802
-160.496716,546,657.6875
-209.788883,507,685.671494
-88.583328,1000,737.066866
-191.209096,726,778.856116
-67.328764,1000,845.986012
-91.548045,1000,919.430696
-65.913668,1000,996.09276
0.220645,1000,1072.386747
-51.89264,1000,1145.021989
-14.824441,1000,1215.556192
-28.671231,1000,1297.566192
-100.448122,1000,1384.278191
-26.244428,1000,1456.100432
12.57561,140,1465.693936
159.16958,811,1523.690972
-75.593664,1000,1590.603684
-34.162533,1000,1649.781921
-24.098594,1000,1705.077897
-77.286608,1000,1756.51873
-39.587285,1000,1803.542875
-50.323133,1000,1857.033521
-395.488539,588,1894.947142
-40.497007,1000,1960.068194
275.979461,273,1974.59749
-90.019717,598,2009.004139
216.529728,614,2041.8141
-91.476424,1000,2097.938306
-32.164055,1000,2158.447317
-26.003507,1000,2218.229858
23.791204,1000,2280.974076
-1.396342,1000,2358.42742
-53.715209,467,2399.148086
-31.970408,1000,2478.452193
242.948585,256,2493.305715
211.127769,506,2525.630234
0.171992,1000,2584.82401
-392.683022,386,2608.997971
229.493806,402,2632.091989
202.05897,373,2655.415073
143.994078,817,2698.382938
-324.94571,930,2739.89447
183.629105,630,2768.941827
263.424381,234,2779.379836
-4.577516,137,2785.385534
248.915095,216,2797.183386
-74.687471,1000,2843.783609
306.124907,276,2855.737929
117.710571,858,2899.067649
208.818813,394,2917.598656
260.955578,304,2931.898486
282.286543,291,2943.834172
273.480337,314,2956.875338
