#{"t_start": 1760695127.3364027, "env_id": "None"}
r,l,t
-16.84246,1000,1162.068277
8.11497,1000,1181.409385
-32.45196,1000,1182.028706
-17.750622,1000,1189.590681
-14.824528,1000,1215.556817
-87.51091,1000,1223.479423
-16.812586,1000,1232.792494
-156.73679,1000,1253.048733
-21.990877,1000,1253.744398
-53.949085,1000,1263.239973
-28.67121,1000,1297.570216
-10.814963,1000,1307.458175
-27.528133,1000,1318.825132
-119.68413,1000,1340.167198
-85.87262,1000,1340.945066
-34.42964,1000,1350.543469
-100.44804,1000,1384.288752
-140.20853,1000,1391.904521
-28.600748,1000,1403.550103
246.91527,237,1413.168753
-37.03483,1000,1424.215543
-137.42503,1000,1424.881463
245.06592,327,1425.685216
-108.116325,1000,1431.570604
-26.24445,1000,1456.101451
12.575623,140,1465.696629
-0.8102431,1000,1483.0545
-50.743397,1000,1495.021445
-61.170788,1000,1495.754399
-3.4066014,1000,1496.56006
-39.44686,1000,1502.324721
159.16959,811,1523.690914
-39.947697,1000,1551.241298
-81.021255,1000,1562.265089
-34.47249,1000,1563.11251
-27.600163,1000,1563.977582
-34.3338,1000,1570.116689
-75.593575,1000,1590.604253
246.06616,622,1601.561793
-73.7914,1000,1614.703021
-34.763325,1000,1626.68395
-16.38247,1000,1627.621999
-154.98578,945,1630.862525
-34.162518,1000,1649.783764
5.03357,1000,1660.07466
-41.75933,1000,1672.994613
-42.16755,1000,1683.287604
-11.18783,1000,1684.224967
-25.092373,1000,1687.580609
188.02689,562,1700.965961
-24.098608,1000,1705.077231
-4.992633,1000,1713.062503
-65.77727,1000,1735.094858
-43.4291,1000,1735.849673
-5.318932,1000,1739.022624
-12.005932,1000,1752.156713
-77.28655,1000,1756.516595
-162.46115,1000,1764.569092
117.303856,956,1782.296984
-30.788996,1000,1784.231304
4.329288,1000,1787.419151
310.5604,168,1792.894196
-89.27453,1000,1800.015966
-39.5872,1000,1803.540718
-87.51488,1000,1811.088775
-54.689854,1000,1830.251398
-116.46401,1000,1836.192564
246.95042,511,1838.183478
-75.907974,1000,1842.62791
-58.91195,1000,1851.921735
-50.323063,1000,1857.032661
-73.57327,722,1891.97638
-80.68581,1000,1893.606516
-395.4885,588,1894.943832
-41.555817,1000,1900.452023
-79.455864,1000,1902.669829
-41.103,1000,1918.547726
195.80048,700,1939.359019
-4.115194,1000,1956.714737
-40.49703,1000,1960.068886
133.44287,883,1960.068926
-125.49468,1000,1964.071681
150.92065,442,1965.859082
323.25507,228,1973.166452
263.38043,202,1973.703288
275.9795,273,1974.594583
-74.72324,1000,1981.972734
-271.95218,556,1987.290177
-42.62069,75,1992.576627
-130.20372,267,1995.416946
191.4014,435,1999.768148
139.19592,634,2002.111893
-90.01972,598,2009.000537
-105.55704,346,2020.256489
22.530998,67,2022.448911
-72.35714,1000,2028.133698
253.97708,191,2033.461058
216.52963,614,2041.81287
-38.532417,1000,2046.226129
-113.24095,309,2046.51667
-63.686146,1000,2049.061054
-32.97753,1000,2053.22613
-200.53784,218,2056.410216
286.25305,225,2062.117857
-66.62734,1000,2089.83453
94.76845,847,2091.655967
-91.47639,1000,2097.93504
-14.05949,1000,2110.513187
-98.97803,1000,2114.264164
-26.492174,1000,2120.438279
234.10608,498,2121.48538
-217.45352,108,2129.288758
-54.563015,1000,2150.601272
-32.164036,1000,2158.446393
-21.030735,1000,2169.869848
-200.69864,972,2172.670776
-19.249973,1000,2180.591787
13.703567,1000,2187.341581
-8.992672,1000,2209.273331
-26.003576,1000,2218.228768
-298.29916,625,2226.504801
-14.431249,1000,2230.4449
-142.08688,400,2232.834642
-52.155266,1000,2233.033291
-3.61243,1000,2240.53089
23.791231,1000,2280.972811
-306.24838,841,2288.020466
172.88747,865,2288.701149
24.030159,1000,2289.46392
13.760017,1000,2293.634782
38.2397,90,2294.052604
97.304695,824,2294.191998
264.16534,178,2305.072968
-119.798065,285,2313.02704
-1.396317,1000,2358.427035
123.506,809,2358.546138
-52.815353,1000,2369.466303
-20.430002,1000,2378.568317
-59.947586,1000,2389.731081
-7.4926414,1000,2397.497908
-53.715176,467,2399.147884
-135.7435,356,2421.99075
107.39401,971,2442.491398
-18.512705,1000,2452.158785
-28.003542,1000,2459.730558
-69.42441,1000,2470.083237
221.50516,585,2470.351164
-31.970354,1000,2478.44925
193.41891,577,2484.766881
29.249786,208,2485.157457
242.94855,256,2493.30472
219.44162,621,2493.847426
201.08293,435,2499.58714
35.688297,1000,2524.144233
211.12767,506,2525.631053
207.48837,600,2532.984779
-445.95364,292,2541.40565
-19.944,1000,2546.564212
-20.528492,1000,2547.025077
154.94533,791,2547.919889
-7.8474197,101,2550.087024
249.93085,255,2556.34518
-13.838615,135,2560.765012
-123.21775,155,2568.303985
205.975,229,2582.980336
0.17205662,1000,2584.824202
-56.75486,1000,2592.033044
-45.764988,1000,2606.861233
197.35864,983,2607.624734
-392.683,386,2608.995784
-56.88829,1000,2616.847288
267.23413,264,2623.16713
132.5244,793,2630.787787
229.49384,402,2632.089504
244.55789,260,2638.752151
-21.032701,1000,2653.67224
202.05894,373,2655.412731
-280.88943,470,2660.311425
-97.64796,1000,2665.343849
106.55817,920,2668.829978
-18.412148,88,2674.119289
206.51831,445,2675.361333
-211.82118,391,2685.409574
125.26069,892,2687.003703
258.54623,307,2691.495691
143.99414,817,2698.382189
252.58095,218,2698.382238
221.6672,292,2699.29306
167.3588,490,2700.556684
-30.305191,1000,2709.850613
297.2345,293,2711.435095
241.1334,389,2716.61641
240.01898,268,2720.964633
267.64,286,2728.183428
154.16672,870,2731.306124
-3.4917145,145,2737.35246
-324.9458,930,2739.890799
204.82683,554,2746.045991
53.18996,1000,2746.18549
257.3919,322,2751.413203
228.71623,957,2755.489414
173.17532,601,2757.453062
243.54681,290,2760.850799
328.12222,235,2762.358257
217.37506,351,2762.748301
35.521606,132,2766.678502
-280.281,298,2768.585047
183.62906,630,2768.936168
257.30963,171,2769.34232
265.77203,203,2772.496798
287.15396,385,2774.6841
263.42444,234,2779.374936
290.9225,226,2779.57495
264.08624,214,2780.552181
231.88231,330,2783.873071
-4.57753,137,2785.380384
255.42706,318,2790.030981
285.28326,244,2791.910987
248.91512,216,2797.178999
276.20392,312,2798.57055
-200.57158,759,2801.555079
253.47607,239,2809.038299
236.94923,204,2809.624865
262.0539,378,2809.948056
10.946182,74,2813.805763
281.55643,183,2818.137527
281.56616,158,2818.246446
-82.565254,1000,2826.779877
289.4048,332,2833.718426
248.79103,394,2837.973751
-16.285923,1000,2838.416286
258.85547,333,2843.360213
-74.68749,1000,2843.781255
254.30667,245,2845.093181
250.8046,257,2849.483806
196.32565,318,2850.910359
130.85803,890,2855.398317
306.12488,276,2855.732184
265.08832,291,2855.790486
298.44986,271,2861.314991
-96.46158,436,2871.874107
258.3452,471,2879.438382
115.486145,903,2890.313385
289.28296,339,2890.439635
241.41899,236,2891.476449
117.71057,858,2899.066683
241.4986,247,2903.426136
-28.244526,1000,2905.735224
297.6672,314,2905.790104
-38.18498,1000,2911.889391
178.24843,515,2916.791485
208.81879,394,2917.593327
220.39233,327,2921.410525
237.8309,406,2921.687031
227.72559,255,2923.174227
240.16283,222,2927.220919
260.95544,304,2931.893197
282.58533,299,2933.909926
253.93437,245,2933.909961
270.78342,351,2936.731089
282.2865,291,2943.828902
265.86627,402,2943.856546
273.58197,297,2947.942662
226.57248,326,2948.787091
-24.613031,1000,2949.953158
273.48035,314,2956.871639
207.50566,367,2960.287166
