#{"t_start": 1760695127.3306866, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-388.544023,80,1.968149
-997.162369,88,3.564891
-485.634243,70,4.6428
-774.508246,91,6.250507
-97.105698,283,12.442222
-372.682874,198,17.816591
-88.015161,328,27.759069
-60.856734,448,41.330422
-171.00246,1000,114.630727
4.334313,182,125.688715
-260.237699,556,157.675379
-294.143164,532,191.306009
-218.094323,686,242.34161
-264.628658,192,253.252075
-175.520758,595,293.07965
-391.514404,224,306.163776
-66.751317,232,318.286757
-68.862867,79,320.817996
-101.347657,94,326.005872
-46.846626,317,340.804451
-128.826876,319,352.749427
-163.645414,266,363.523026
-136.375326,564,389.016514
-210.81146,459,409.494779
-164.618618,367,425.995931
-18.770393,201,436.856808
19.880896,178,447.107395
-76.314069,356,463.977169
-293.190541,524,492.176816
-124.985948,463,513.990493
-118.522664,782,555.16276
-206.476758,372,574.831966
-194.567228,472,598.792714
9.748977,207,608.923717
-161.981685,463,631.58652
-124.816018,302,644.704814
-232.76763,781,686.336872
-158.505955,499,711.306421
-175.577256,413,734.707084
-114.738253,432,756.964822
-133.292687,1000,821.548136
-119.076236,1000,892.135189
-77.767923,1000,968.08822
-18.138316,1000,1045.158965
-1.877809,1000,1118.1556
-17.750616,1000,1189.592644
-53.949096,1000,1263.237562
-34.429721,1000,1350.544641
-108.116365,1000,1431.573474
-39.446847,1000,1502.326867
-34.333738,1000,1570.119968
-154.985794,945,1630.864408
-25.09233,1000,1687.583106
-5.318841,1000,1739.025315
4.329309,1000,1787.421619
-116.464053,1000,1836.19274
-41.55591,1000,1900.453717
-125.494724,1000,1964.071124
263.380507,202,1973.704521
-72.35716,1000,2028.13541
-113.240958,309,2046.516727
-200.537839,218,2056.41432
-98.977992,1000,2114.265047
-200.698614,972,2172.671849
-52.155316,1000,2233.032957
-306.248328,841,2288.020981
38.239667,90,2294.053485
-20.430003,1000,2378.563661
-28.003574,1000,2459.730992
35.688284,1000,2524.143752
-445.953634,292,2541.404743
249.930725,255,2556.349566
-56.888267,1000,2616.84934
106.558208,920,2668.832574
-18.412144,88,2674.121915
258.546274,307,2691.498839
154.166654,870,2731.309999
173.175372,601,2757.456927
287.153983,385,2774.688311
255.427096,318,2790.034749
-16.285902,1000,2838.41894
250.804589,257,2849.486529
298.449771,271,2861.317622
-38.185023,1000,2911.89144
227.725501,255,2923.178684
253.934362,245,2933.913147
273.581958,297,2947.94605
