#{"t_start": 1760695127.334357, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-536.707112,88,2.086734
-750.362117,62,3.276673
-702.845506,84,4.581778
-560.528575,65,5.792081
-341.179468,193,9.724582
-220.354308,203,14.53456
-371.85903,255,21.507922
-127.774208,557,39.719957
-193.363666,483,62.015483
-315.992264,489,106.297575
-262.967498,173,118.84875
-120.657918,1000,180.731125
-152.832371,362,205.749952
-157.983205,212,217.878661
-180.531203,571,259.507453
-84.80918,566,294.625836
-98.65415,449,319.227998
-171.753806,235,331.130972
-166.057473,689,358.295608
-129.874052,620,385.22368
-93.169449,1000,432.005262
-276.005152,552,461.249334
-205.94977,511,487.863665
-351.485078,476,511.725838
-243.69713,316,525.138485
-2.513005,169,533.713385
-42.317196,233,542.952076
-161.203366,393,568.650281
-131.944541,297,584.497555
-132.867312,497,608.787278
-163.796691,577,636.995146
-157.226585,460,658.064941
-122.66941,560,690.287343
-272.728901,897,735.854237
-126.643456,1000,795.033924
-87.083821,1000,863.3289
-47.950865,1000,937.855854
-45.943434,1000,1014.410871
-55.943987,1000,1089.815732
-16.842438,1000,1162.0684
-16.812462,1000,1232.79331
-27.528215,1000,1318.825904
-28.60074,1000,1403.55002
245.065859,327,1425.686291
-3.406588,1000,1496.559861
-27.600075,1000,1563.97722
-16.382532,1000,1627.622165
-11.187819,1000,1684.225326
-43.429122,1000,1735.849505
-30.788962,1000,1784.230924
310.56044,168,1792.894783
-75.908049,1000,1842.625832
-73.573236,722,1891.976123
-4.11518,1000,1956.71357
-271.952132,556,1987.291131
-42.620687,75,1992.577898
-38.53246,1000,2046.224514
94.76849,847,2091.655847
234.105967,498,2121.486165
-217.453522,108,2129.290128
13.703608,1000,2187.342283
-298.299121,625,2226.504211
24.03018,1000,2289.46011
-119.798081,285,2313.026709
-7.492717,1000,2397.49516
-135.743471,356,2421.989131
221.505136,585,2470.351473
201.082884,435,2499.587928
154.945397,791,2547.920789
197.358738,983,2607.625763
267.234081,264,2623.167959
244.557889,260,2638.752584
125.260687,892,2687.004522
252.580904,218,2698.382209
297.234602,293,2711.435954
228.716098,957,2755.490764
-280.281028,298,2768.586343
231.882326,330,2783.874204
276.203884,312,2798.571118
253.476096,239,2809.035494
281.556443,183,2818.135843
248.791008,394,2837.974346
196.325652,318,2850.911491
-96.461553,436,2871.874801
289.283026,339,2890.440751
297.667261,314,2905.790849
-24.613125,1000,2949.953426
