#{"t_start": 1760695127.3296425, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-428.053161,86,2.061446
-837.127326,74,3.444089
-670.817993,73,4.5674
-583.612467,73,5.904953
-463.923897,256,11.579493
-331.965664,236,17.565156
-377.823571,253,24.450175
-188.092208,495,40.554053
-585.317927,854,102.232993
-253.893612,145,112.943999
-304.398695,978,173.187613
-118.614116,1000,241.438944
-149.946631,657,282.563277
-32.845055,89,290.122867
-45.810044,70,293.53512
-58.792124,86,299.133215
-285.596057,174,307.922288
-44.630749,257,320.587218
-139.101135,538,345.676454
-102.818005,337,358.107719
-133.047633,187,367.063493
-114.773579,216,376.735783
-130.0815,755,409.705743
-125.414847,1000,460.589252
-22.799471,199,469.978312
-47.655107,328,487.768885
-277.076759,422,507.929982
-94.068648,454,529.287054
-263.269145,639,563.890149
-168.475287,306,578.895747
-42.39064,244,592.878652
-154.9116,206,603.565227
-58.259644,401,621.792445
-158.295318,729,657.335346
-216.643034,573,690.069378
-141.771407,622,721.46717
-177.934826,475,743.883828
-149.539029,568,778.736369
-228.923883,544,814.144956
-81.530477,1000,884.882233
-20.226485,1000,959.292742
-47.05231,1000,1036.927392
-8.125815,1000,1110.638028
-32.452068,1000,1182.028868
-21.990784,1000,1253.744878
-85.872659,1000,1340.946315
-137.424912,1000,1424.882071
-61.17081,1000,1495.754397
-34.472502,1000,1563.110972
-34.76329,1000,1626.682429
-42.167568,1000,1683.283784
-65.777336,1000,1735.092873
117.303745,956,1782.296274
-54.689819,1000,1830.252142
-80.685789,1000,1893.608313
195.800462,700,1939.359994
150.920658,442,1965.861776
139.195887,634,2002.115356
-105.55703,346,2020.258421
22.531,67,2022.450453
253.977089,191,2033.46124
-66.627352,1000,2089.835576
-54.563002,1000,2150.603657
-8.992588,1000,2209.274502
-142.08687,400,2232.837689
172.887423,865,2288.698848
-52.815324,1000,2369.462306
-18.512857,1000,2452.158711
219.441592,621,2493.849066
207.488496,600,2532.984835
-56.75486,1000,2592.032478
-21.032739,1000,2653.672344
206.518385,445,2675.364422
167.358815,490,2700.5597
53.190045,1000,2746.18989
217.37504,351,2762.753912
265.77203,203,2772.502366
264.086281,214,2780.556496
285.283223,244,2791.914463
262.053878,378,2809.951023
281.566183,158,2818.248506
289.404813,332,2833.721614
254.306722,245,2845.096601
115.486131,903,2890.315899
241.498683,247,2903.427352
237.830814,406,2921.692204
282.585306,299,2933.913002
226.57247,326,2948.791573
