#{"t_start": 1760695127.338656, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-270.764929,56,2965.674909
-358.048377,71,2967.650149
-120.792798,87,2969.569001
-127.540474,73,2971.556571
-129.736386,68,2973.085977
-185.777373,78,2975.221431
-158.580207,62,2976.65536
-142.613144,53,2978.234523
-109.669089,57,2979.538962
-177.307396,88,2981.888302
-98.394912,88,2985.240578
-122.931142,88,2987.496085
-294.819387,822,3036.524727
-100.11137,215,3045.547012
-373.240905,375,3059.705585
-319.526656,232,3068.23329
-55.185951,215,3075.445499
-326.245168,229,3084.156788
-205.115827,309,3097.796165
-195.827426,439,3116.026864
-123.250282,240,3125.812814
-235.710836,302,3137.038269
-101.299819,293,3152.169302
-29.207845,339,3169.630975
-177.332139,330,3184.877675
-213.417847,604,3221.983068
-160.304502,307,3244.953249
-198.06566,393,3275.156871
-139.850555,804,3330.26696
-94.355864,1000,3394.846722
-181.061591,1000,3453.666611
-32.026171,374,3469.897908
-0.588588,416,3487.226938
-49.956777,325,3504.622001
28.390149,314,3518.108545
201.110941,595,3549.895452
218.420996,883,3596.870167
-17.385899,424,3620.396591
-3.198959,341,3634.067439
13.961189,320,3650.142166
41.219881,113,3654.636253
41.811351,348,3669.002988
231.501084,390,3684.94802
235.044755,553,3707.386794
-24.996694,135,3713.271834
217.92515,428,3733.551774
-23.428366,367,3750.062847
-86.059402,454,3768.963417
-35.361709,410,3788.758403
218.225715,597,3815.043837
-55.705599,468,3836.206021
213.382633,539,3861.424451
-47.158056,503,3886.569632
44.685929,1000,3941.681035
-97.725513,311,3956.683055
-83.56727,276,3968.173686
-34.491932,271,3978.640579
-112.294959,245,3988.43467
-121.931766,287,4001.80249
-122.508924,409,4019.266792
-109.244635,523,4044.453452
195.654998,575,4076.172622
142.456685,474,4102.607089
-75.498712,175,4114.109649
-114.026421,1000,4180.996886
-73.984738,1000,4236.001267
220.991868,335,4251.433738
-144.662782,414,4272.433599
-64.901601,552,4300.638692
195.64898,559,4334.630121
164.31081,695,4376.857607
166.15996,665,4419.263563
-66.787932,297,4438.781164
-162.362557,961,4529.707814
-54.001453,1000,4616.676725
-100.908431,196,4627.794906
144.813353,840,4684.678526
-66.824653,1000,4752.566068
-39.774578,1000,4813.522695
68.982252,209,4827.317691
154.638264,723,4869.304735
-47.20808,1000,4932.337054
220.31687,547,4965.229977
195.642145,676,5002.875959
173.997981,771,5048.351429
188.861261,471,5076.250274
-38.415734,1000,5136.312993
-24.206753,1000,5197.553176
134.070974,941,5256.491235
296.386843,271,5272.26672
208.25928,728,5319.662364
161.810131,793,5367.74565
-41.814501,1000,5429.268342
-65.821516,1000,5483.152612
-41.569465,1000,5543.995213
-56.224331,1000,5620.09463
209.528817,419,5660.50385
-7.601267,1000,5757.447003
281.64898,355,5777.447785
153.442296,617,5808.215526
176.097003,669,5842.081475
