#{"t_start": 1760695127.3448179, "env_id": "None"}
r,l,t
225.08136,576,3581.240382
55.434307,621,3587.56762
219.41379,635,3588.384458
218.42105,883,3596.871692
181.11281,768,3600.999576
192.49086,580,3602.700554
-78.95492,442,3609.770941
209.7832,484,3614.571805
-17.385902,424,3620.396584
107.762115,730,3620.494733
1.3538284,445,3622.195451
279.19952,471,3626.17745
245.95401,426,3631.108272
-3.1989212,341,3634.066036
182.07095,384,3638.597636
219.61534,381,3640.31601
213.56677,563,3640.492374
-8.203186,72,3640.829756
238.76685,391,3644.738053
-23.381844,309,3645.447732
13.961159,320,3650.13857
-20.22071,194,3651.933874
282.54553,329,3654.520442
41.21988,113,3654.632642
23.606544,429,3659.751785
7.0296173,341,3659.961031
28.57022,449,3659.990758
-4.633621,87,3663.415058
-22.802994,282,3664.030513
9.540215,314,3666.234398
41.811325,348,3668.999042
184.0935,336,3671.976772
7.807312,140,3671.976826
-43.045948,351,3674.251978
1.7255325,283,3674.775048
197.51532,321,3676.435743
27.704224,128,3677.173227
231.50108,390,3684.94536
-9.530197,258,3685.281545
8.095657,278,3689.313807
231.95375,400,3690.606526
-151.33693,600,3697.195662
5.430458,324,3697.916826
277.34256,261,3699.952879
215.32863,571,3701.78825
-38.613655,337,3704.988714
-20.748413,75,3705.371606
235.0447,553,3707.383038
297.0344,298,3711.143745
-87.30515,282,3711.799109
2.9511032,326,3712.521185
-24.996696,135,3713.267902
-100.88141,251,3721.948279
194.75955,474,3725.154561
154.72531,530,3728.566237
16.671097,157,3729.054454
217.92513,428,3733.550491
-381.29318,507,3734.324721
214.99933,500,3734.941014
15.044586,159,3741.351654
240.12897,362,3741.420068
207.6419,393,3745.33014
215.10222,397,3745.899586
-23.428383,367,3750.058975
202.37196,524,3757.507763
181.89093,440,3762.205483
218.5536,449,3762.427831
228.64543,449,3766.174001
-12.533737,126,3767.639161
5.7328796,511,3768.624622
-86.0594,454,3768.959551
43.37703,168,3773.031349
35.526733,159,3775.181597
-92.19185,347,3777.788941
8.272079,146,3779.283008
217.52696,631,3785.128183
-35.36168,410,3788.756216
-27.822205,466,3789.18985
-50.2402,312,3790.968247
-47.699623,389,3794.51009
35.53076,144,3797.216301
-0.08644867,139,3800.660361
-42.441063,285,3801.725583
191.13298,532,3803.123901
-93.919624,515,3809.099029
-78.05896,268,3809.779644
218.22566,597,3815.042034
4.4891357,349,3815.608901
66.54062,149,3817.990856
-16.094246,427,3823.907708
-103.55174,480,3824.196038
-54.175865,453,3829.88309
23.937927,297,3830.358763
-17.935242,166,3830.744306
-43.451782,400,3834.7421
-55.705597,468,3836.202016
-64.65019,469,3843.747934
-23.845978,344,3846.869255
255.65764,327,3847.200918
231.38806,409,3849.135522
14.305969,174,3854.399377
-7.709633,446,3854.869429
-41.358788,352,3861.015846
213.3826,539,3861.421767
61.089508,163,3861.556798
-65.56961,486,3873.633656
203.26544,627,3877.76664
-72.804,581,3884.64715
43.180634,225,3884.964146
-37.07517,453,3885.267306
24.922615,180,3885.434092
-47.1581,503,3886.565871
170.47574,795,3903.859532
-168.2598,428,3907.128691
-117.64161,489,3910.993272
-14.07589,516,3912.411818
-2.068985,252,3921.008682
60.096832,161,3923.688137
124.68143,807,3927.384186
43.829346,359,3932.372062
57.201782,186,3939.11393
-34.80197,324,3940.363714
44.68592,1000,3941.678885
-245.97643,757,3944.030841
-62.916557,440,3945.206202
-52.420055,392,3950.827261
-97.72549,311,3956.680375
-84.276276,365,3957.18165
-55.282825,393,3962.248566
-82.03588,521,3962.830899
-30.199501,395,3963.443269
25.936798,151,3967.964136
-83.56725,276,3968.171998
-113.34671,427,3968.863177
-213.04118,307,3969.448826
-148.95709,309,3974.444782
-108.082794,263,3978.196776
-34.491913,271,3978.63744
103.23153,414,3979.424579
-173.5885,258,3981.083668
58.71878,146,3981.407065
-69.08894,340,3982.645657
-22.20868,171,3987.284532
-147.9245,228,3987.505742
-112.29496,245,3988.431137
301.8216,283,3992.580567
-92.93005,255,3993.145478
-110.58575,362,3994.255512
46.65454,183,3994.487296
-88.186905,289,3999.075621
-121.93177,287,4001.800924
3.1077423,212,4002.053085
-55.13642,316,4008.45801
-119.4334,337,4008.883632
-84.20901,473,4013.715852
-124.77852,334,4015.293403
-137.50922,400,4015.846819
-122.508896,409,4019.262946
-45.781002,256,4019.993801
72.82173,157,4020.303621
46.618286,145,4025.781518
-35.59629,434,4030.662191
-160.49297,471,4038.70085
-34.740776,390,4039.481595
-97.30615,496,4040.130176
-109.24463,523,4044.449344
-251.9743,471,4050.197779
-214.71103,468,4051.763249
-49.852695,297,4056.091366
-103.59896,348,4056.332034
197.41107,350,4057.167683
-71.065865,190,4064.599843
50.758057,137,4071.549719
264.4195,337,4075.874014
195.65503,575,4076.172499
270.21625,336,4076.727716
-129.67146,428,4076.727778
-169.05603,513,4078.061954
192.37674,391,4099.900459
-122.25389,414,4102.530597
142.45667,474,4102.609217
-232.76378,604,4109.13441
189.70053,616,4110.286265
-75.49872,175,4114.110365
-85.25012,330,4117.390123
51.819824,163,4121.813612
-20.549667,1000,4139.072598
198.51843,553,4146.598297
-89.27727,308,4158.096395
-83.70648,273,4165.703576
-102.73304,1000,4168.581886
43.142014,258,4175.379241
-114.02639,1000,4180.996993
