#{"t_start": 1760695127.3441286, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-126.74933,110,2966.876362
-668.650789,77,2968.968307
-112.583569,56,2970.207486
-163.424794,76,2972.281044
-118.435488,61,2974.019606
-130.061221,59,2975.350774
-169.647641,84,2977.666591
-120.400547,57,2978.952799
-147.660232,78,2981.080952
-340.351634,90,2983.202096
-134.423577,88,2986.616903
-351.850179,852,3036.401083
-196.547903,159,3042.631018
-110.279913,203,3050.535464
-211.320956,232,3059.739143
-209.046036,203,3066.369509
-57.380779,206,3074.42403
-404.977325,196,3082.201049
-390.379955,254,3092.516778
-277.705891,329,3105.56176
-127.016818,197,3114.90806
-92.830648,375,3129.800792
-68.716087,305,3141.665526
-307.256562,313,3157.809777
-91.058287,297,3172.277975
-13.605768,453,3197.273996
-134.352508,681,3243.732242
-203.194295,379,3269.872234
-114.235047,1000,3340.004632
-52.86048,289,3358.751633
-9.770096,1000,3423.627122
-49.310594,497,3451.053958
-57.955746,358,3466.113244
-85.902986,316,3480.172771
239.244812,466,3503.564509
147.746076,541,3529.434651
165.85388,467,3554.307485
55.434291,621,3587.567453
-78.954955,442,3609.770983
245.954067,426,3631.108328
-23.381826,309,3645.447838
7.029593,341,3659.961123
-4.633601,87,3663.414714
1.725488,283,3674.775176
-9.530214,258,3685.28158
5.430465,324,3697.916927
2.951084,326,3712.521271
214.99935,500,3734.941063
15.044576,159,3741.35181
218.553572,449,3762.427907
-12.533734,126,3767.63935
-27.822193,466,3789.189877
-42.441092,285,3801.725626
-103.551747,480,3824.196059
-17.935218,166,3830.744463
255.657568,327,3847.200939
14.305971,174,3854.399584
61.08947,163,3861.557003
-37.075183,453,3885.267318
-168.259798,428,3907.128715
-2.069003,252,3921.0086
-62.916581,440,3945.206204
-30.199478,395,3963.442859
103.231536,414,3979.42448
-110.585749,362,3994.255589
-119.433406,337,4008.88308
-35.596309,434,4030.662189
-214.711025,468,4051.762708
-129.671469,428,4076.724303
192.376735,391,4099.899996
-85.250129,330,4117.390143
-133.278496,1000,4184.256592
272.751736,352,4206.968218
-21.259718,1000,4257.104318
-101.228333,652,4292.011233
108.052086,757,4334.241754
-75.500465,1000,4396.953928
-68.117872,1000,4464.19173
-77.962908,203,4480.326503
226.849315,432,4530.046431
-71.042704,1000,4616.958641
-87.948825,1000,4683.478488
-32.649856,1000,4751.401756
166.882367,717,4792.086794
62.638986,182,4804.850282
59.543387,191,4815.312165
192.344863,598,4853.294403
161.971996,648,4891.991089
-103.227082,925,4951.041997
-31.903787,1000,5008.323491
238.71677,441,5033.183309
224.76568,594,5069.15277
-98.021151,169,5077.292067
131.120311,989,5137.224768
270.051775,381,5157.62563
169.162678,711,5204.722807
126.76949,976,5264.281055
-41.142123,1000,5329.263408
154.185776,835,5381.353315
189.79208,784,5428.61197
-56.912551,1000,5482.560015
-71.570549,1000,5543.230993
171.74154,843,5608.331572
135.236384,725,5674.940832
-24.685661,1000,5766.927025
85.516947,895,5809.643099
218.951546,495,5835.617389
