#{"t_start": 1760695127.3397675, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-192.814486,93,2966.509885
-630.48318,67,2968.360896
-124.583179,76,2970.051658
-103.022271,56,2971.664363
-126.54132,83,2973.552238
-121.530609,59,2975.237139
-152.790058,88,2977.63846
-136.572578,87,2979.623256
-3.264858,107,2982.442528
-97.067527,110,2986.346764
-312.841143,901,3037.896351
-255.407466,184,3045.68587
-185.171601,213,3052.632799
-148.683252,256,3063.522539
-313.082619,239,3071.170027
-155.356963,263,3082.057419
-412.149826,295,3093.604272
-219.240014,285,3105.343467
-269.836079,367,3121.175274
-158.752859,336,3134.78267
-147.461804,279,3146.900039
-26.104272,339,3164.32944
-203.079088,384,3183.473274
-74.368078,304,3199.573671
-162.354856,671,3249.400804
-165.56275,284,3267.939947
-224.800358,802,3323.728451
-241.054723,559,3359.814272
-199.02594,882,3417.411135
192.246221,787,3459.966227
-131.102374,323,3474.209739
-60.454885,309,3486.662532
-112.15513,362,3505.173997
-52.960128,376,3523.506088
-6.073253,365,3541.930163
155.458363,543,3569.777716
192.490778,580,3602.702152
279.199538,471,3626.177802
238.766807,391,3644.741314
-20.220687,194,3651.936593
-22.802989,282,3664.034226
197.515366,321,3676.439721
8.09567,278,3689.315448
277.342552,261,3699.954972
-87.305145,282,3711.8022
-381.293164,507,3734.326971
202.371992,524,3757.50777
217.526996,631,3785.130079
-93.919614,515,3809.10155
-54.175866,453,3829.881712
-23.845991,344,3846.871766
203.265439,627,3877.767669
24.922626,180,3885.437308
-14.075891,516,3912.41442
60.096837,161,3923.689675
-34.802014,324,3940.363812
-84.276285,365,3957.181729
-213.041193,307,3969.452574
-173.588493,258,3981.087209
-22.208661,171,3987.28793
-88.186887,289,3999.07909
-137.509218,400,4015.850301
-97.306147,496,4040.133657
-49.852733,297,4056.091175
-71.065861,190,4064.600992
50.758062,137,4071.549935
-232.763771,604,4109.133628
198.518478,553,4146.594152
-83.70649,273,4165.699108
-44.578171,372,4188.234495
-58.414349,480,4216.237252
58.979589,147,4223.115478
273.704147,295,4237.568326
-42.401256,1000,4288.217881
-96.187002,413,4308.636981
289.817466,302,4328.000231
-51.608905,1000,4391.210554
-106.041796,1000,4454.848629
-97.924422,1000,4556.778545
-59.181611,1000,4634.148787
-95.339264,1000,4699.914797
167.027377,542,4734.229333
-177.371657,806,4788.862651
-155.616254,196,4798.837687
-17.893925,1000,4860.968868
-122.857955,862,4916.244491
145.872395,691,4958.062591
221.99573,462,4981.428103
153.941497,948,5039.275329
204.896431,527,5069.748669
-71.256258,227,5082.437722
37.772503,1000,5143.065711
154.90392,520,5173.59231
150.104405,927,5234.602398
119.107648,899,5288.824773
-87.185269,1000,5350.502295
-88.552068,1000,5412.549639
-54.857056,1000,5468.532333
-60.453837,1000,5523.16194
170.738352,938,5593.476971
213.506679,511,5634.961513
-89.386386,1000,5736.633971
249.573106,371,5766.897197
10.228407,1000,5814.4872
