#{"t_start": 1760695127.343137, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-202.483587,91,2966.456577
-469.58909,81,2968.629924
-208.230209,120,2971.661691
-124.871252,80,2973.475491
-102.732631,83,2975.729972
-120.279083,60,2977.486836
-154.106183,73,2979.140893
-132.816847,54,2980.723818
-105.253095,101,2983.079212
-132.625106,86,2986.43429
-118.703278,52,2988.922572
-239.921943,839,3037.657985
-30.843756,182,3045.409517
-139.400295,378,3059.661223
-299.028919,262,3069.062388
-218.861707,196,3075.721395
-136.598077,218,3084.120737
-264.533873,250,3094.444602
-169.00185,208,3103.980361
-40.645544,299,3116.250905
-27.195174,284,3127.331982
-4.994743,192,3135.434727
-63.973026,311,3148.903051
-99.501461,269,3163.8315
-75.814131,285,3177.590421
-159.351686,230,3189.928233
22.624914,979,3257.05588
-136.134625,418,3285.600912
-233.35385,785,3339.862206
-105.368799,1000,3404.618948
-35.268572,1000,3460.2798
199.73957,503,3481.348876
-64.634967,341,3497.687818
-272.18505,508,3523.242298
171.609987,595,3554.606576
219.413799,635,3588.385257
209.783229,484,3614.572741
213.566838,563,3640.492942
28.570224,449,3659.990885
-43.045976,351,3674.252126
231.953816,400,3690.607448
-38.613656,337,3704.989491
154.72536,530,3728.566269
207.641883,393,3745.331041
228.645418,449,3766.17482
43.377056,168,3773.032338
8.27208,146,3779.283468
191.132972,532,3803.124794
-16.094251,427,3823.90569
-64.650188,469,3843.748239
-41.358826,352,3861.016542
170.475749,795,3903.859929
-245.976389,757,3944.029848
-55.28284,393,3962.248607
25.936762,151,3967.96508
-108.082799,263,3978.196887
-147.924504,228,3987.506369
46.654531,183,3994.488353
-55.136435,316,4008.458045
-45.780973,256,4019.994183
46.618286,145,4025.781224
-251.974272,471,4050.198333
-169.056023,513,4078.062806
-122.253874,414,4102.531366
-102.733019,1000,4168.579273
221.827553,347,4189.710394
194.011567,527,4219.247347
99.276594,665,4254.508633
-89.855657,239,4265.632277
69.296001,139,4272.104699
142.655036,738,4312.308116
-73.716631,1000,4373.903092
90.296613,929,4430.971565
77.750243,183,4441.67402
-57.023938,1000,4536.297178
-43.22721,1000,4620.987002
-230.797598,993,4687.115885
14.425969,151,4698.900653
-186.325731,900,4760.106152
199.44287,581,4792.562828
-121.017187,724,4838.808153
193.154707,535,4873.094436
166.243962,668,4915.060965
-22.853686,1000,4972.937772
301.900183,266,4987.305352
-14.607943,1000,5047.26191
226.000521,450,5074.712704
195.512216,614,5109.62603
248.752728,580,5143.881221
-166.65276,147,5151.403242
248.738907,370,5174.581891
155.706122,644,5214.849722
213.866284,568,5251.729322
149.253526,707,5296.060223
-34.800284,1000,5358.23764
213.559591,590,5393.993318
-21.962129,1000,5452.506458
-101.604314,1000,5503.757099
-0.650356,1000,5575.455096
112.487751,879,5648.4599
209.517928,659,5717.789374
256.481584,474,5758.932277
168.63493,726,5797.110379
245.497812,617,5827.336576
