#{"t_start": 1760695127.340818, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-228.099086,93,2966.509952
-416.576321,50,2968.007621
-132.458251,62,2969.369745
-115.084307,51,2970.874754
-162.730433,57,2972.152738
-153.282941,63,2973.929821
-129.490558,59,2975.266629
-122.861664,59,2976.626782
-130.860011,61,2978.399035
-213.313251,78,2980.514557
-165.407116,66,2982.027869
-170.682371,71,2984.965883
-120.797126,69,2986.710832
-280.221423,81,2989.874179
-185.352169,78,2991.922219
-133.608348,97,2999.51259
-60.418837,84,3005.309784
-328.236763,724,3045.458775
14.936363,115,3049.657494
-326.068545,320,3061.337763
-298.739982,231,3069.807411
-346.872817,290,3080.127044
-239.047083,305,3093.21924
-82.960557,450,3111.735632
-74.071767,353,3126.453502
-39.07064,253,3136.300059
-302.013693,245,3147.65257
-70.766334,332,3164.822912
-63.771346,336,3182.261606
-245.74532,472,3207.02551
-128.895977,1000,3279.059244
-82.188416,264,3296.086914
-72.07939,399,3327.828067
-104.727548,220,3340.54429
-97.700221,214,3353.567655
-258.050207,237,3367.974554
-199.107894,546,3405.278342
-94.39275,546,3438.336284
-174.799757,468,3461.234565
-40.466042,296,3474.697421
-92.12286,323,3487.513449
-88.450219,397,3508.808867
3.804764,427,3529.579479
-145.212453,403,3550.03164
225.081394,576,3581.239372
107.762083,730,3620.495099
182.070931,384,3638.598189
-8.203177,72,3640.831758
23.606544,429,3659.752747
184.093552,336,3671.977546
-151.336932,600,3697.196433
297.0344,298,3711.146257
-100.881405,251,3721.948784
16.671095,157,3729.056807
215.10218,397,3745.902592
5.732923,511,3768.627391
35.526732,159,3775.183494
-47.699621,389,3794.512247
-0.086445,139,3800.661297
4.489123,349,3815.609929
-43.45178,400,3834.744639
-7.709668,446,3854.870278
-72.80401,581,3884.647074
124.681416,807,3927.385313
57.201802,186,3939.114679
-82.035851,521,3962.830523
-148.957066,309,3974.446638
58.718803,146,3981.409798
301.821601,283,3992.582489
3.107805,212,4002.055479
-124.778512,334,4015.296099
-160.49294,471,4038.702554
-103.598956,348,4056.332485
264.419533,337,4075.871817
189.700508,616,4110.286855
51.819847,163,4121.811369
-204.485255,887,4181.341184
-80.335655,163,4189.773595
-169.913946,689,4228.847791
160.819165,448,4250.527116
-142.270396,620,4281.658489
54.242367,177,4292.406931
230.802888,437,4314.380748
-93.276317,155,4322.924299
-85.218451,1000,4384.493096
-31.689877,1000,4449.858035
55.309376,180,4465.35028
213.831967,513,4518.545402
-73.509551,1000,4609.060876
-130.889159,198,4620.952054
105.635061,669,4665.496173
121.955385,657,4708.0939
-50.932213,1000,4774.698509
-94.284842,1000,4837.907261
-32.933371,1000,4900.13646
-72.489379,557,4936.827911
286.045567,303,4952.10342
-24.144672,1000,5009.26903
230.463759,401,5032.751369
182.686324,585,5068.489172
157.173059,709,5109.544243
168.818002,685,5150.057277
-40.856371,1000,5213.046038
165.378998,586,5250.134091
-44.742591,447,5274.627605
-51.211653,1000,5338.755669
143.092668,845,5392.788871
-48.470051,1000,5451.251784
205.20589,799,5491.301712
-37.032241,1000,5556.517413
207.775158,743,5612.208676
-59.992558,1000,5708.182173
122.910384,828,5777.017748
226.24124,518,5802.909325
221.098667,477,5826.185553
